iter	Passed	Remaining
0	7	2840
1	15	2916
2	22	2869
3	30	2866
4	37	2838
5	45	2842
6	52	2826
7	59	2807
8	67	2794
9	73	2759
10	80	2725
11	88	2730
12	94	2696
13	101	2686
14	108	2670
15	115	2653
16	124	2690
17	132	2695
18	140	2690
19	148	2693
20	155	2682
21	164	2692
22	171	2686
23	178	2669
24	186	2663
25	193	2657
26	202	2666
27	213	2713
28	223	2731
29	231	2721
30	239	2723
31	248	2725
32	258	2743
33	267	2741
34	275	2739
35	283	2734
36	292	2732
37	301	2733
38	309	2731
39	318	2734
40	327	2731
41	335	2723
42	345	2735
43	354	2735
44	363	2727
45	372	2727
46	393	2816
47	404	2820
48	415	2829
49	425	2835
50	435	2833
51	448	2855
52	457	2847
53	465	2833
54	473	2822
55	481	2812
56	489	2796
57	497	2786
58	506	2780
59	513	2764
60	521	2753
61	529	2741
62	538	2734
63	545	2721
64	554	2711
65	561	2696
66	568	2680
67	575	2665
68	582	2649
69	589	2634
70	596	2619
71	603	2607
72	610	2592
73	616	2574
74	623	2559
75	630	2548
76	637	2535
77	644	2521
78	651	2507
79	658	2495
80	665	2481
81	673	2470
82	679	2456
83	686	2443
84	693	2431
85	700	2420
86	707	2406
87	714	2395
88	721	2382
89	727	2369
90	734	2358
91	741	2345
92	748	2334
93	755	2322
94	762	2311
95	769	2300
96	776	2289
97	783	2278
98	790	2267
99	797	2256
100	803	2244
101	813	2240
102	820	2229
103	827	2219
104	834	2208
105	841	2198
106	848	2188
107	855	2177
108	862	2167
109	870	2159
110	877	2149
111	884	2140
112	891	2129
113	898	2120
114	905	2110
115	912	2101
116	919	2091
117	926	2079
118	933	2070
119	940	2060
120	947	2051
121	954	2042
122	961	2032
123	968	2022
124	975	2013
125	982	2003
126	989	1994
127	996	1984
128	1003	1975
129	1009	1965
130	1016	1956
131	1023	1947
132	1030	1937
133	1038	1929
134	1044	1919
135	1051	1910
136	1058	1900
137	1065	1891
138	1071	1881
139	1078	1872
140	1084	1861
141	1091	1852
142	1098	1842
143	1103	1832
144	1110	1823
145	1116	1813
146	1124	1804
147	1131	1795
148	1138	1787
149	1145	1779
150	1151	1769
151	1158	1761
152	1165	1752
153	1172	1743
154	1178	1734
155	1185	1725
156	1192	1716
157	1199	1708
158	1207	1700
159	1214	1693
160	1222	1686
161	1230	1678
162	1237	1670
163	1246	1664
164	1252	1655
165	1259	1646
166	1266	1638
167	1273	1630
168	1280	1621
169	1287	1613
170	1295	1605
171	1301	1597
172	1309	1589
173	1315	1580
174	1323	1572
175	1330	1564
176	1338	1558
177	1346	1550
178	1352	1541
179	1359	1533
180	1366	1525
181	1375	1518
182	1383	1511
183	1390	1504
184	1398	1496
185	1405	1489
186	1413	1481
187	1421	1474
188	1427	1465
189	1435	1458
190	1442	1450
191	1450	1442
192	1457	1435
193	1465	1427
194	1471	1418
195	1478	1410
196	1486	1403
197	1493	1395
198	1501	1387
199	1509	1380
200	1517	1373
201	1525	1366
202	1532	1359
203	1541	1352
204	1548	1344
205	1556	1337
206	1564	1330
207	1572	1323
208	1580	1315
209	1588	1308
210	1594	1299
211	1602	1292
212	1608	1283
213	1615	1276
214	1622	1268
215	1630	1260
216	1637	1252
217	1644	1244
218	1651	1236
219	1657	1228
220	1664	1220
221	1671	1212
222	1678	1204
223	1685	1196
224	1692	1188
225	1699	1180
226	1706	1172
227	1712	1164
228	1719	1156
229	1727	1148
230	1733	1140
231	1740	1133
232	1747	1125
233	1754	1117
234	1761	1109
235	1768	1101
236	1776	1094
237	1782	1086
238	1789	1078
239	1796	1070
240	1803	1062
241	1810	1054
242	1816	1046
243	1823	1038
244	1830	1030
245	1837	1023
246	1844	1015
247	1851	1007
248	1858	1000
249	1866	992
250	1873	985
251	1880	977
252	1887	970
253	1894	962
254	1902	954
255	1909	947
256	1916	939
257	1924	932
258	1931	924
259	1938	917
260	1945	909
261	1953	901
262	1960	894
263	1967	886
264	1973	878
265	1980	871
266	1987	863
267	1994	855
268	2000	847
269	2007	839
270	2014	832
271	2020	824
272	2027	817
273	2034	809
274	2040	801
275	2047	793
276	2055	786
277	2061	778
278	2067	770
279	2074	763
280	2082	755
281	2089	748
282	2097	741
283	2106	734
284	2112	726
285	2120	719
286	2126	711
287	2133	703
288	2140	696
289	2148	688
290	2154	681
291	2162	673
292	2169	666
293	2176	658
294	2183	651
295	2190	643
296	2197	636
297	2205	629
298	2212	621
299	2219	614
300	2227	606
301	2233	599
302	2241	591
303	2247	584
304	2255	576
305	2262	569
306	2270	562
307	2278	554
308	2285	547
309	2292	539
310	2300	532
311	2308	525
312	2316	517
313	2324	510
314	2333	503
315	2341	496
316	2349	489
317	2357	481
318	2365	474
319	2372	467
320	2379	459
321	2388	452
322	2396	445
323	2404	437
324	2411	430
325	2419	423
326	2426	415
327	2434	408
328	2442	400
329	2450	393
330	2459	386
331	2466	378
332	2474	371
333	2481	364
334	2489	356
335	2497	349
336	2506	342
337	2514	334
338	2521	327
339	2529	319
340	2537	312
341	2545	305
342	2552	297
343	2560	290
344	2567	282
345	2574	275
346	2581	267
347	2588	260
348	2594	252
349	2600	245
350	2607	237
351	2614	230
352	2621	222
353	2628	215
354	2635	207
355	2641	200
356	2647	192
357	2655	185
358	2662	177
359	2669	170
360	2676	163
361	2683	155
362	2689	148
363	2696	140
364	2704	133
365	2711	125
366	2720	118
367	2728	111
368	2734	103
369	2741	96
370	2748	88
371	2755	81
372	2762	74
373	2769	66
374	2776	59
375	2783	51
376	2789	44
377	2796	36
378	2804	29
379	2811	22
380	2819	14
381	2827	7
382	2835	0
